ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	127.30693018351458	127.30693018351458	127.30693018351458	127.30693018351458
1	128.86097713237945	128.57010860663684	128.72067099319074	128.87123337974407
2	129.96295432064565	129.40673853759932	129.70431824437293	129.99559628492344
3	130.75009835191267	129.92231414234615	130.3876044230631	130.83625380160098
4	131.248664339494	130.19455405406214	130.81522728537286	131.4067842884261
5	131.58053025035392	130.31754240178228	131.09196790182608	131.8200863812736
6	131.8251217134205	130.3738488193816	131.2934766332605	132.14961678723716
7	131.92366623112048	130.3713859090092	131.37201735106112	132.28576326965674
8	131.9746072169676	130.36586699899433	131.40975314304745	132.34205604888882
9	132.00918757182043	130.34652452674618	131.4333984996959	132.38236280389768
